,_id,title,url,description,syllabus,skills,ratings_count,prerequisites,duration,category,level,schoolName,instructors,enrolled_students_count,avg_rating,num_reviews,price,source,
0,6148a25ff3d9bb53b18dafc3,Learn Serbian 102,https://www.udemy.com/course/serbian-202/,"Perfect for false beginners in Serbian, Bosnian, Croatian, Montenegrin. It covers all essential situations and grammar.",[],Not Available,14,"['PC, laptop or ipad']",4.5 hours,course,beginner,Provided by Udemy Instructors,['Marina Petrovic'],120,4.5,14,$99.99,Udemy,
1,6148a25ff3d9bb53b18dafc4,Powerful Business Writing #2 – How to Write in Fewer Words,https://www.udemy.com/course/write-less-say-more/,"Boost your business writing skills – tips & cheat sheets for concise, professional and powerful writing.","['Write shorter, more concise messages – with confidence.', 'Produce powerful, professional written communication.', 'Write simple, yet elegant content.', 'Select the most compelling words.', 'Learn the secrets to eliminating wordiness.', 'Cheat sheets to keep beside your computer.']",Not Available,103,"['The desire to write concisely and with confidence.', 'Sound English writing skills – the course does not include grammar theory.']",43 mins,course,beginner,Provided by Udemy Instructors,['Caroline McDevitt'],839,3.7,103,$49.99,Udemy,
2,6148a25ff3d9bb53b18dafc5,SketchUp to LayOut ,https://www.udemy.com/course/sketchuptolayout/,The essential guide to creating construction documents with SketchUp Pro & LayOut,"['Have complete control over the look of your viewports in LayOut', 'Create a complete set of construction documents inside LayOut including viewports, dimensions, annotations', 'Learn how to optimize your SketchUp models specifically for LayOut', 'Advanced techniques for creating section cuts, hatches, and poche effects.', 'Learn the five step process for creating scenes in SketchUp for LayOut.', 'How to create and edit your own styles in SketchUp to customize the look of your model.']",Not Available,250,[],3.5 hours,course,beginner,Provided by Udemy Instructors,['Matt Donley'],1418,4.7,250,$49.99,Udemy,
3,6148a25ff3d9bb53b18dafc6,Learn Adobe Dreamweaver CS6 - For Absolute Beginners,https://www.udemy.com/course/learn-adobe-dreamweaver-cs6-training/,A beginner level course for those new to Dreamweaver CS6.,"['Get started with Dreamweaver by navigating the interface and different views.', 'Using preferences and keyboard shortcuts.', 'Adding images to your web pages.', 'Linking your web pages.', 'An introduction to HTML.', 'Learn about CSS and why it’s important.', 'Working with tables.', 'Inserting multimedia on your web pages.', 'Publishing your content.']",Not Available,172,['Dreamweaver CS6'],12 hours,course,beginner,Provided by Udemy Instructors,['Simon Sez IT'],12905,4.5,172,$89.99,Udemy,
4,6148a25ff3d9bb53b18dafc7,Celebrating Financial Freedom,https://www.udemy.com/course/celebrating-financial-freedom/,The Christian Get Out of Debt Course,"['To get you out of debt and into prosperity using common sense and Christian principles', ""To demonstrate the link between your money and your soul, and why that's important"", 'To teach you the habits that will allow you to get out of debt and stay that way', 'To show you how to communicate with your spouse about money and eliminate money fights and disagreements forever', 'Goal: You will have a written plan for getting out of debt', 'Goal: You will have total control over your money through a written spending plan', 'Goal: You will eliminate money stress from your marriage because communication and cooperation will be much better']",Not Available,22,['None'],2 hours,course,beginner,Provided by Udemy Instructors,['Jason Cabler'],125,4.8,22,$94.99,Udemy,
5,6148a25ff3d9bb53b18dafc8,PHP Punch in the Face,https://www.udemy.com/course/php-punch-in-the-face/,"Get punched in the face with PHP. Cover the basics, create a re-usable database class, and build your first application!","['PHP Syntax', 'PHP Functions', 'Class Creation', 'Basic MySQL Commands', 'Building a PHP Application']",Not Available,137,[],6 hours,course,beginner,Provided by Udemy Instructors,['Jesse Boyer'],10663,3.7,137,$89.99,Udemy,
6,6148a25ff3d9bb53b18dafc9,Japanese In Context - Elementary Japanese Course,https://www.udemy.com/course/japanese-in-context/,"Learn to to speak, read, and write authentic - and practical Japanese to boost your career or just enrich your life","['61 lectures with over 5 hours of content!', '49 video demonstrations of how to write Japanese characters with over 2 hours of content by a native speaker!', '58 activities with vocabulary and grammar to test your writing and reading skills', '55 audio tracks recorded by a native speaker!', 'Understand how to study Japanese in order to become fluent in your own desired way', 'Learn to speak,read and write modern Japanese!']",Not Available,556,[],7.5 hours,course,beginner,Provided by Udemy Instructors,['Christopher Bell'],27758,4.7,556,$19.99,Udemy,
7,6148a25ff3d9bb53b18dafca,Learn SAP Course - Online Beginner Training,https://www.udemy.com/course/learn-sap/,Learn SAP with Peter Moxon - Ideal Beginner SAP Training Course! Unlimited Life Time Access & Fully Downloadable!,[],Not Available,2556,['None'],2 hours,course,beginner,Provided by Udemy Instructors,['Peter Moxon'],10860,4.5,2554,$74.99,Udemy,
8,6148a25ff3d9bb53b18dafcb,Real Estate Photography for the Realtor!,https://www.udemy.com/course/real-estate-photography-for-the-realtor/,This will NOT get technical.  You will be able to better represent your properties and sell more!,['Create better images of your real estate properties.'],Not Available,121,[],3 hours,course,beginner,Provided by Udemy Instructors,['Carl Neitzert'],677,4.6,121,$49.99,Udemy,
9,6148a25ff3d9bb53b18dafcc,F5 LTM Introduction - Learn to Load Balance - Version 13,https://www.udemy.com/course/load-balancer-introduction-to-f5/,Learn the basics to Load Balancers. This F5 load balancer tutorial course walks you through Version 13 of the F5 LTM.,"['By the end of this course, you will have a general understanding of the F5 LTM.', 'Learn how to setup and install a Virtual F5 for Lab Purposes.', 'Acquire knowledge of Network Maps and Load Balancer Basics.', 'Learn the Basics of Nodes, Pools, and Virtual Servers.', 'In this course you will learn, what a Monitor is.', 'Configure SSL.', 'What is NAT and SNAT?', 'Learn the concept of High Availability.']",Not Available,123,['VMWARE Player is not a requirement but would assist in learning.'],3.5 hours,course,beginner,Provided by Udemy Instructors,['RB Blea'],842,3.7,123,$29.99,Udemy,
